
BackTest: Z4 EUR/CHF 2011..2014
[206: Fri 26.08. 14:00]  1.14446-1.14347-1.14807-1.14732
[207: Fri 26.08. 15:00]  1.14732-1.14212-1.16979-1.16388
[208: Fri 26.08. 16:00]  1.16388-1.16029-1.16856-1.16558
[209: Fri 26.08. 17:00]  1.16558-1.16514-1.17392-1.16870
[210: Fri 26.08. 18:00]  1.16870-1.16788-1.17149-1.16826
[211: Fri 26.08. 19:00]  1.16826-1.16706-1.17020-1.17020
[212: Fri 26.08. 20:00]  1.17020-1.16903-1.17118-1.17114
[213: Fri 26.08. 21:00]  1.17114-1.17027-1.17130-1.17036
[214: Sun 28.08. 22:00]  1.17036-1.17036-1.17323-1.17070
[215: Sun 28.08. 23:00]  1.17070-1.16954-1.17204-1.17158
[216: Mon 29.08. 00:00]  1.17158-1.17104-1.17258-1.17231
[217: Mon 29.08. 01:00]  1.17231-1.17049-1.17245-1.17147
[218: Mon 29.08. 02:00]  1.17147-1.17108-1.17511-1.17474
[219: Mon 29.08. 03:00]  1.17474-1.17242-1.17478-1.17271
[220: Mon 29.08. 04:00]  1.17271-1.17255-1.17403-1.17388
[221: Mon 29.08. 05:00]  1.17388-1.17298-1.17514-1.17405
[222: Mon 29.08. 06:00]  1.17405-1.17341-1.17522-1.17509
[223: Mon 29.08. 07:00]  1.17509-1.17509-1.18520-1.18431
[224: Mon 29.08. 08:00]  1.18431-1.18084-1.18683-1.18133
[225: Mon 29.08. 09:00]  1.18133-1.17802-1.18159-1.18014
[226: Mon 29.08. 10:00]  1.18014-1.17901-1.18352-1.18193
[227: Mon 29.08. 11:00]  1.18193-1.18051-1.18384-1.18260
[228: Mon 29.08. 12:00]  1.18260-1.18135-1.18412-1.18343
[229: Mon 29.08. 13:00]  1.18343-1.18189-1.18971-1.18823
[230: Mon 29.08. 14:00]  1.18823-1.18738-1.19023-1.18907
[231: Mon 29.08. 15:00]  1.18907-1.18857-1.19763-1.19307
[232: Mon 29.08. 16:00]  1.19307-1.18618-1.19315-1.18850
[233: Mon 29.08. 17:00]  1.18850-1.18543-1.19125-1.18592
[234: Mon 29.08. 18:00]  1.18592-1.18371-1.18675-1.18414
[235: Mon 29.08. 19:00]  1.18414-1.18220-1.18490-1.18305
[236: Mon 29.08. 20:00]  1.18305-1.18276-1.18585-1.18494
[237: Mon 29.08. 21:00]  1.18494-1.18295-1.18498-1.18435
[238: Mon 29.08. 22:00]  1.18435-1.18320-1.18531-1.18524
[239: Mon 29.08. 23:00]  1.18524-1.18427-1.18736-1.18710
[240: Tue 30.08. 00:00]  1.18710-1.18539-1.18737-1.18641
[241: Tue 30.08. 01:00]  1.18641-1.18633-1.18894-1.18798
[242: Tue 30.08. 02:00]  1.18798-1.18570-1.18800-1.18670
[243: Tue 30.08. 03:00]  1.18670-1.18628-1.18774-1.18721
[244: Tue 30.08. 04:00]  1.18721-1.18657-1.18930-1.18830
[245: Tue 30.08. 05:00]  1.18830-1.18710-1.18888-1.18748
[246: Tue 30.08. 06:00]  1.18748-1.18746-1.18995-1.18838
[247: Tue 30.08. 07:00]  1.18838-1.18191-1.18853-1.18325
[248: Tue 30.08. 08:00]  1.18325-1.17634-1.18662-1.17764
[249: Tue 30.08. 09:00]  1.17764-1.17552-1.18027-1.17598
[250: Tue 30.08. 10:00]  1.17598-1.17587-1.18230-1.18172
[251: Tue 30.08. 11:00]  1.18172-1.18098-1.18392-1.18374
[252: Tue 30.08. 12:00]  1.18374-1.18266-1.18678-1.18308
[253: Tue 30.08. 13:00]  1.18308-1.17993-1.18600-1.17999
[254: Tue 30.08. 14:00]  1.17999-1.17962-1.18325-1.18201
[255: Tue 30.08. 15:00]  1.18201-1.17846-1.18256-1.18139
[256: Tue 30.08. 16:00]  1.18139-1.17745-1.18139-1.18000
[257: Tue 30.08. 17:00]  1.18000-1.17776-1.18044-1.17987
[258: Tue 30.08. 18:00]  1.17987-1.17979-1.18594-1.18424
[259: Tue 30.08. 19:00]  1.18424-1.18208-1.18496-1.18479
[260: Tue 30.08. 20:00]  1.18479-1.18365-1.18565-1.18508
[261: Tue 30.08. 21:00]  1.18508-1.18403-1.18558-1.18465
[262: Tue 30.08. 22:00]  1.18465-1.18351-1.18550-1.18470
[263: Tue 30.08. 23:00]  1.18470-1.18251-1.18505-1.18350
[264: Wed 31.08. 00:00]  1.18350-1.18283-1.18538-1.18497
[265: Wed 31.08. 01:00]  1.18497-1.18128-1.18575-1.18175
[266: Wed 31.08. 02:00]  1.18175-1.18122-1.18261-1.18233
[267: Wed 31.08. 03:00]  1.18233-1.18147-1.18303-1.18192
[268: Wed 31.08. 04:00]  1.18192-1.18073-1.18192-1.18164
[269: Wed 31.08. 05:00]  1.18164-1.18003-1.18239-1.18040
[270: Wed 31.08. 06:00]  1.18040-1.17679-1.18051-1.17715
[271: Wed 31.08. 07:00]  1.17715-1.17560-1.18036-1.17826
[272: Wed 31.08. 08:00]  1.17826-1.17095-1.17997-1.17484
[273: Wed 31.08. 09:00]  1.17484-1.17200-1.17537-1.17384
[274: Wed 31.08. 10:00]  1.17384-1.17177-1.17429-1.17190
[275: Wed 31.08. 11:00]  1.17190-1.16337-1.17213-1.16897
[276: Wed 31.08. 12:00]  1.16897-1.16593-1.17070-1.16626
[277: Wed 31.08. 13:00]  1.16626-1.15660-1.16948-1.15900
[278: Wed 31.08. 14:00]  1.15900-1.15469-1.16388-1.16383
[279: Wed 31.08. 15:00]  1.16383-1.16067-1.16587-1.16115
[280: Wed 31.08. 16:00]  1.16115-1.15569-1.16201-1.15815
[281: Wed 31.08. 17:00]  1.15815-1.15535-1.16014-1.15886
[282: Wed 31.08. 18:00]  1.15886-1.15275-1.15904-1.15323
[283: Wed 31.08. 19:00]  1.15323-1.15299-1.15821-1.15821
[284: Wed 31.08. 20:00]  1.15821-1.15591-1.16011-1.15770
[285: Wed 31.08. 21:00]  1.15770-1.15694-1.15968-1.15879
[286: Wed 31.08. 22:00]  1.15879-1.15824-1.16271-1.16043
[287: Wed 31.08. 23:00]  1.16043-1.15934-1.16063-1.16034
[288: Thu 01.09. 00:00]  1.16034-1.15690-1.16055-1.15693
[289: Thu 01.09. 01:00]  1.15693-1.15673-1.16020-1.15942
[290: Thu 01.09. 02:00]  1.15942-1.15829-1.16113-1.16068
[291: Thu 01.09. 03:00]  1.16068-1.15959-1.16124-1.16048
