
Walk-Forward Test: Z3 portfolio 2008..2013
Read Z3.fac
Read Z3_1.par
[4529: Wed 05.01. 20:00]  04529
[4530: Thu 06.01. 00:00]  04530
[4531: Thu 06.01. 04:00]  04531
[4532: Thu 06.01. 08:00]  04532
[4533: Thu 06.01. 12:00]  04533
[4534: Thu 06.01. 16:00]  04534
[4535: Thu 06.01. 20:00]  04535
[4536: Fri 07.01. 00:00]  04536
[4537: Fri 07.01. 04:00]  04537
[4538: Fri 07.01. 08:00]  04538
[4539: Fri 07.01. 12:00]  04539
[4540: Fri 07.01. 16:00]  04540
[4541: Mon 10.01. 00:00]  04541
[4542: Mon 10.01. 04:00]  04542
[4543: Mon 10.01. 08:00]  04543
[4544: Mon 10.01. 12:00]  04544
[4545: Mon 10.01. 16:00]  04545
[4546: Mon 10.01. 20:00]  04546
[4547: Tue 11.01. 00:00]  04547
[4548: Tue 11.01. 04:00]  04548
[4549: Tue 11.01. 08:00]  04549
[4550: Tue 11.01. 12:00]  04550
[4551: Tue 11.01. 16:00]  04551
[4552: Tue 11.01. 20:00]  04552
[4553: Wed 12.01. 00:00]  04553
[4554: Wed 12.01. 04:00]  04554
[4555: Wed 12.01. 08:00]  04555
[4556: Wed 12.01. 12:00]  04556
[4557: Wed 12.01. 16:00]  04557
[4558: Wed 12.01. 20:00]  04558
[4559: Thu 13.01. 00:00]  04559
[4560: Thu 13.01. 04:00]  04560
[4561: Thu 13.01. 08:00]  04561
[4562: Thu 13.01. 12:00]  04562
[4563: Thu 13.01. 16:00]  04563
[4564: Thu 13.01. 20:00]  04564
[4565: Fri 14.01. 00:00]  04565
[4566: Fri 14.01. 04:00]  04566
[4567: Fri 14.01. 08:00]  04567
[4568: Fri 14.01. 12:00]  04568
[4569: Fri 14.01. 16:00]  04569
[4570: Mon 17.01. 00:00]  04570
[4571: Mon 17.01. 04:00]  04571
[4572: Mon 17.01. 08:00]  04572
[4573: Mon 17.01. 12:00]  04573
[4574: Mon 17.01. 16:00]  04574
[4575: Mon 17.01. 20:00]  04575
[4576: Tue 18.01. 00:00]  04576
[4577: Tue 18.01. 04:00]  04577
[4578: Tue 18.01. 08:00]  04578
[4579: Tue 18.01. 12:00]  04579
[4580: Tue 18.01. 16:00]  04580
[4581: Tue 18.01. 20:00]  04581
[4582: Wed 19.01. 00:00]  04582
[4583: Wed 19.01. 04:00]  04583
[4584: Wed 19.01. 08:00]  04584
[4585: Wed 19.01. 12:00]  04585
[4586: Wed 19.01. 16:00]  04586
[4587: Wed 19.01. 20:00]  04587
[4588: Thu 20.01. 00:00]  04588
[4589: Thu 20.01. 04:00]  04589
[4590: Thu 20.01. 08:00]  04590
[4591: Thu 20.01. 12:00]  04591
[4592: Thu 20.01. 16:00]  04592
[4593: Thu 20.01. 20:00]  04593
[4594: Fri 21.01. 00:00]  04594
[4595: Fri 21.01. 04:00]  04595
[4596: Fri 21.01. 08:00]  04596
[4597: Fri 21.01. 12:00]  04597
[4598: Fri 21.01. 16:00]  04598
[4599: Mon 24.01. 00:00]  04599
[4600: Mon 24.01. 04:00]  04600
[4601: Mon 24.01. 08:00]  04601
[4602: Mon 24.01. 12:00]  04602
[4603: Mon 24.01. 16:00]  04603
[4604: Mon 24.01. 20:00]  04604
[4605: Tue 25.01. 00:00]  04605
[4606: Tue 25.01. 04:00]  04606
[4607: Tue 25.01. 08:00]  04607
[4608: Tue 25.01. 12:00]  04608
[4609: Tue 25.01. 16:00]  04609
[4610: Tue 25.01. 20:00]  04610
[4611: Wed 26.01. 00:00]  04611
[4612: Wed 26.01. 04:00]  04612
[4613: Wed 26.01. 08:00]  04613
